path,scope,classification,state,evidence,dependency_or_replacement,sha256
docs/,directory,"ACTIVE_CORE;ACTIVE_CONFIG",present,"Canonical protocol plus repository navigation pages.","Navigation pages preserve source/results paths without moving them.",
docs/repository/,directory,"ACTIVE_CORE;ACTIVE_CONFIG",present,"Phase 1 architecture, candidate, entrypoint, result and inventory pages.","Logical index only; no runtime imports.",
drafts/,directory,"LEGACY_EXPERIMENT;LEGACY_DIAGNOSTIC;HISTORICAL_EVIDENCE;GENERATED_ARTIFACT",present,"Dated analyses, raw evidence, tables, figures and reproduction scripts.","Several raw/table/SVG paths are untracked; preserve exact paths.",
drafts/architecture_survey_20260820/,directory,HISTORICAL_EVIDENCE,present,"Capability map and design-space evidence.","Upstream source survey; no current runtime import.",
drafts/architecture_screening_20260820/,directory,"LEGACY_EXPERIMENT;LEGACY_DIAGNOSTIC;HISTORICAL_EVIDENCE",present,"Rejected/frozen architecture screening and aggregation reports.","Decision evidence retained for thesis rationale.",
drafts/canonical_cleanup_20260901/,directory,HISTORICAL_EVIDENCE,present,"Non-destructive cleanup plan and candidate list.","Explicitly prohibits deletion/move in this phase.",
drafts/finetune_strategy_decision_20260831/,directory,"LEGACY_EXPERIMENT;LEGACY_DIAGNOSTIC;HISTORICAL_EVIDENCE",present,"Matched-budget fine-tuning decision evidence and scripts.","Historical lineage; no automatic rerun.",
drafts/canonical_mvub_finetune/,directory,"LEGACY_EXPERIMENT;LEGACY_DIAGNOSTIC;HISTORICAL_EVIDENCE",present,"MVUB lineage/implementation planning.","Related canonical finetune entrypoint is retained for reproduction.",
drafts/canonical_scalable_formal_r01/,directory,"ACTIVE_RESULT;HISTORICAL_EVIDENCE;GENERATED_ARTIFACT",present,"Formal Base/Full tables, per-H5 evidence, checkpoint audits and plots.","Current result index points to later assembled tables where applicable.",
drafts/canonical_yaware_owlii_audit/,directory,"ACTIVE_RESULT;HISTORICAL_EVIDENCE;GENERATED_ARTIFACT",present,"Owlii/y-aware audit tables, plots and human-data inventory.","Historical external sanity evidence.",
drafts/canonical_yaware_equilibrium_human_data_audit/,directory,"LEGACY_EXPERIMENT;LEGACY_DIAGNOSTIC;HISTORICAL_EVIDENCE;GENERATED_ARTIFACT",present,"Equilibrium and human-data audit reports, CSVs and Slurm recipes.","No current recipe promotion inferred.",
drafts/20260901_multirate_review/,directory,"ACTIVE_RESULT;HISTORICAL_EVIDENCE;GENERATED_ARTIFACT",present,"Multi-rate review figures, tables, raw evidence and reproduction code.","Current result navigation references retained outputs; many files untracked.",
drafts/20260902_4k2k_8k256_base_degradation_diagnosis/,directory,"LEGACY_EXPERIMENT;LEGACY_DIAGNOSTIC;HISTORICAL_EVIDENCE",present,"4K/2K/8K degradation diagnosis.","Diagnostic evidence only.",
drafts/20260902_joint256_tafa_provenance_audit/,directory,"LEGACY_EXPERIMENT;LEGACY_DIAGNOSTIC;HISTORICAL_EVIDENCE;GENERATED_ARTIFACT",present,"Joint256 provenance audit and raw N30 outputs.","Raw audit input; untracked paths must be preserved.",
drafts/20260902_joint32k_official_comparison/,directory,"ACTIVE_RESULT;HISTORICAL_EVIDENCE;GENERATED_ARTIFACT",present,"Official-vs-32K comparison report, raw FAU/N30 outputs and plots.","Comparison evidence; not an active launcher.",
drafts/20260902_owlii_joint256_review/,directory,"ACTIVE_RESULT;HISTORICAL_EVIDENCE;GENERATED_ARTIFACT",present,"Owlii Joint256 review, tables, raw outputs and figures.","Historical external sanity evidence.",
drafts/20260903_data_distribution_diagnosis/,directory,"LEGACY_EXPERIMENT;LEGACY_DIAGNOSTIC;HISTORICAL_EVIDENCE;GENERATED_ARTIFACT",present,"Content-distribution statistics, raw blocks, plots and report.","Diagnostic evidence only.",
drafts/20260903_fixed_model_internal_trace/,directory,"LEGACY_EXPERIMENT;LEGACY_DIAGNOSTIC;HISTORICAL_EVIDENCE;GENERATED_ARTIFACT",present,"Fixed-model internal trace raw files, merged tables and figures.","Diagnostic evidence only; several raw paths untracked.",
results/,directory,"ACTIVE_RESULT;HISTORICAL_EVIDENCE;GENERATED_ARTIFACT",present,"Current candidate audits plus legacy PCAC/PCGC output.","See CURRENT_RESULT_INDEX.md; no result deletion inferred.",
results/PCAC/,directory,"ACTIVE_RESULT;HISTORICAL_EVIDENCE;GENERATED_ARTIFACT",present,"Original PCAC notebooks and rendered baseline plots.","Upstream benchmark evidence; not current scalable runtime.",
results/PCGC/,directory,"ACTIVE_RESULT;HISTORICAL_EVIDENCE;GENERATED_ARTIFACT",present,"Original PCGC notebooks and rendered geometry baseline plots.","Geometry is out of current thesis scope.",
results/base_rescue_screening_20260903/,directory,"ACTIVE_RESULT;HISTORICAL_EVIDENCE;GENERATED_ARTIFACT",present,"Base rescue report, merged results and plots.","Referenced by current rescue/evaluation navigation.",
results/best_base_256_32k_external_20260903/,directory,"ACTIVE_RESULT;HISTORICAL_EVIDENCE;GENERATED_ARTIFACT",present,"Best-Base external comparison tables and plots.","Historical candidate evidence.",
results/joint_8k_to_4k_external_20260904/,directory,"ACTIVE_RESULT;HISTORICAL_EVIDENCE;GENERATED_ARTIFACT",present,"Joint 8K-to-4K all-checkpoint and selected-step raw/result review.","Current candidate evidence; raw and SVG paths include untracked files.",
results/multirate_256_32k_audit_20260904/,directory,"ACTIVE_RESULT;HISTORICAL_EVIDENCE;GENERATED_ARTIFACT",present,"Current assembled 256-32K master/summary tables and figures.","Primary current result index target; audit labels are dated evidence.",
results/multirate_candidate_inventory_20260904/,directory,"ACTIVE_RESULT;HISTORICAL_EVIDENCE",present,"Candidate-data inventory report.","Superseded/mixed with later assembled tables; retain for provenance.",
results/rescued_2k_enh_external_20260903/,directory,"ACTIVE_RESULT;HISTORICAL_EVIDENCE;GENERATED_ARTIFACT",present,"Rescued 2K Enhancement external analysis and raw physical RD.","Current 2K review evidence.",
results/rescued_2k_u_path_step500_external_20260903/,directory,"ACTIVE_RESULT;HISTORICAL_EVIDENCE;GENERATED_ARTIFACT",present,"Rescued 2K U-path external comparison.","Historical candidate evidence.",
data_splits/,directory,"ACTIVE_TRAINING;ACTIVE_CONFIG",present,"Dataset split/manifest root.","External H5 files are referenced, not stored.",
data_splits/mvub10_finetune_v1/,directory,"ACTIVE_TRAINING;ACTIVE_CONFIG",present,"MVUB train/validation manifest and manifest metadata.","Consumed by MVUB finetune; external H5 root required.",
basic_models/,directory,UPSTREAM_UNICORN_DEPENDENCY,present,"Native backbone, entropy, residual, transformer and loss modules imported by canonical/upstream models.","Current canonical files import basic_models.backbone/loss.",
lossy_attribute/,directory,UPSTREAM_UNICORN_DEPENDENCY,present,"Released Unicorn lossy Attribute model/coder used by FrozenUnicornPrefix and reference adapter.","scalable_attribute/canonical/prefix.py and unicorn_reference.py import model.MultiscaleVAE.",
cfg/,directory,"UPSTREAM_UNICORN_DEPENDENCY;ACTIVE_CONFIG",present,"Original argument/model/data/test/train configuration imported by upstream model CLIs.","Required by lossy_attribute and legacy source compatibility.",
data_utils/,directory,"UPSTREAM_UNICORN_DEPENDENCY;ACTIVE_TRAINING;ACTIVE_EVALUATION",present,"Sparse tensor, attribute/geometry I/O, datasets and dataloaders used by canonical scripts.","scalable_attribute/data.py and canonical scripts import data_utils.",
pipelines/,directory,"UPSTREAM_UNICORN_DEPENDENCY;HISTORICAL_EVIDENCE",present,"Original trainer/tester/coder base classes used by legacy geometry/attribute families.","No canonical scalable launcher imports pipeline classes directly.",
lossless_attribute/,directory,"UPSTREAM_UNICORN_DEPENDENCY;HISTORICAL_EVIDENCE",present,"Original Unicorn lossless Attribute family retained for source/reference recovery.","Legacy package; not current scalable recipe.",
dynamic_attribute/,directory,"UPSTREAM_UNICORN_DEPENDENCY;HISTORICAL_EVIDENCE",present,"Original dynamic Attribute family retained for source/reference recovery.","Legacy package; not current scalable recipe.",
lossless_geometry/,directory,"UPSTREAM_UNICORN_DEPENDENCY;HISTORICAL_EVIDENCE",present,"Original lossless geometry family; geometry is out of current thesis scope.","Legacy package; no current scalable import.",
lossy_geometry/,directory,"UPSTREAM_UNICORN_DEPENDENCY;HISTORICAL_EVIDENCE",present,"Original lossy geometry family; geometry is out of current thesis scope.","Legacy package; no current scalable import.",
dynamic_geometry/,directory,"UPSTREAM_UNICORN_DEPENDENCY;HISTORICAL_EVIDENCE",present,"Original dynamic geometry family; geometry is out of current thesis scope.","Legacy package; no current scalable import.",
dynamic_geometry_lidar/,directory,"UPSTREAM_UNICORN_DEPENDENCY;HISTORICAL_EVIDENCE",present,"Original dynamic LiDAR geometry family; geometry is out of current thesis scope.","Legacy package; no current scalable import.",
third_party/,directory,"UPSTREAM_UNICORN_DEPENDENCY;ACTIVE_CONFIG;GENERATED_ARTIFACT",present,"G-PCC binaries/configs, PCError/BD-rate/PCQM adapters and vendor archives.","Canonical evaluation imports pc_error_attr/gpcc_attr; binary provenance is local-only.",
figures/,directory,"ACTIVE_RESULT;GENERATED_ARTIFACT;HISTORICAL_EVIDENCE",present,"Curated thesis figures with source CSV/provenance.","No runtime import; result navigation points to selected outputs.",
figures/rd/,directory,"ACTIVE_RESULT;GENERATED_ARTIFACT;HISTORICAL_EVIDENCE",present,"Rate-distortion source tables, plotting scripts and renders.","Keep source CSV beside render; no cleanup inferred.",
references/,directory,"ACTIVE_CONFIG;HISTORICAL_EVIDENCE",present,"Read-only task description and Unicorn Part II paper.","Reference precedence is documented in references/README.md.",
__pycache__/,directory,GENERATED_ARTIFACT,present,"Python bytecode cache observed under source directories.","Ignored by .gitignore; not source evidence.",
scalable_attribute/canonical/prefix.py,key_file,ACTIVE_CORE,present,"FrozenUnicornPrefix limits native traversal to r1-r4 and provides hard Base state.","Imports lossy_attribute.model.MultiscaleVAE and MinkowskiEngine.",
scalable_attribute/canonical/base_synthesis.py,key_file,ACTIVE_CORE,present,"Trainable BaseSynthesis reconstruction module.","Imports basic_models.backbone.",
scalable_attribute/canonical/model.py,key_file,ACTIVE_CORE,present,"Canonical Base model assembly and trainable/frozen scopes.","Uses prefix.py and BaseSynthesis.",
scalable_attribute/canonical/enhancement.py,key_file,ACTIVE_CORE,present,"Independent EnhancementVAE and hard payload path.","Uses native VAE modules from FrozenUnicornPrefix.",
scalable_attribute/canonical/scalable_model.py,key_file,ACTIVE_CORE,present,"Frozen Base plus Enhancement assembly and checkpoint loading.","Used by train/evaluate canonical scripts.",
scalable_attribute/canonical/config.py,key_file,ACTIVE_CONFIG,present,"BaseSynthesis schema/defaults and serialization contract.","Consumed by canonical train/eval scripts.",
scalable_attribute/canonical/data_schedule.py,key_file,ACTIVE_TRAINING,present,"Global-step continuation sampler for staged training.","Consumed by train_joint_endpoint/train_enhancement paths.",
scalable_attribute/canonical/evaluation.py,key_file,ACTIVE_EVALUATION,present,"Base tensor/physical evaluation and model aggregation helpers.","Uses scalable_attribute.evaluation and data_utils.",
scalable_attribute/canonical/operating_points.py,key_file,"ACTIVE_CONFIG;ACTIVE_TRAINING;ACTIVE_EVALUATION",present,"Operating-point resolver; enforces legacy official mapping and current config fields.","Reads configs/scalable_attribute/canonical_operating_points.json.",
scalable_attribute/evaluation.py,key_file,ACTIVE_EVALUATION,present,"H5 identity, PSNR, per-model aggregation and model-equal averaging.","Used by canonical/reference evaluators.",
scalable_attribute/reference_points.py,key_file,"ACTIVE_CONFIG;ACTIVE_EVALUATION",present,"Official R01-R09 profile/lambda mapping and checkpoint path helper.","Consumed by reference_sweep_spec and reference evaluator.",
scalable_attribute/unicorn_reference.py,key_file,"UPSTREAM_UNICORN_DEPENDENCY;ACTIVE_EVALUATION",present,"Released Unicorn hard reconstruction adapter.","Imports lossy_attribute.model.MultiscaleVAE.",
scripts/scalable_attribute/canonical/train_base.py,key_file,ACTIVE_TRAINING,present,"Canonical BaseSynthesis training entrypoint.","Current route documented in CURRENT_TRAINING_ENTRYPOINTS.md.",
scripts/scalable_attribute/canonical/train_enhancement.py,key_file,ACTIVE_TRAINING,present,"Frozen Base plus independent Enhancement training entrypoint.","Current route documented in CURRENT_TRAINING_ENTRYPOINTS.md.",
scripts/scalable_attribute/canonical/train_joint_endpoint.py,key_file,"ACTIVE_TRAINING;LEGACY_EXPERIMENT;LEGACY_DIAGNOSTIC",present,"Joint random Base/Full endpoint training; retained for candidate lineage.","Inspect explicit initialization/checkpoint contract before any run.",
scripts/scalable_attribute/canonical/train_base_rescue.py,key_file,"ACTIVE_TRAINING;LEGACY_EXPERIMENT;LEGACY_DIAGNOSTIC",present,"Base rescue scopes/sampler and historical selected lineage.","Required for rescue reproduction; not default recipe.",
scripts/scalable_attribute/canonical/train_enhancement_mixed.py,key_file,"ACTIVE_TRAINING;LEGACY_EXPERIMENT;LEGACY_DIAGNOSTIC",present,"MVUB/mixed adaptation experiment entrypoint.","Historical experiment; not current canonical recipe.",
scripts/scalable_attribute/canonical/train_mvub_finetune.py,key_file,"ACTIVE_TRAINING;LEGACY_EXPERIMENT;LEGACY_DIAGNOSTIC",present,"MVUB-only/mixed fine-tuning entrypoint.","Historical experiment; retained for lineage.",
scripts/scalable_attribute/canonical/evaluate_base.py,key_file,ACTIVE_EVALUATION,present,"Tensor-domain Base validation evaluator.","Current route documented in CURRENT_EVALUATION_ENTRYPOINTS.md.",
scripts/scalable_attribute/canonical/evaluate_base_formal.py,key_file,ACTIVE_EVALUATION,present,"Canonical Base physical hard evaluation.","Current route documented in CURRENT_EVALUATION_ENTRYPOINTS.md.",
scripts/scalable_attribute/canonical/evaluate_base_rescue.py,key_file,"ACTIVE_EVALUATION;ACTIVE_RESULT",present,"Rescued Base physical evaluation and aggregation.","Reads canonical rescue checkpoints and external inputs.",
scripts/scalable_attribute/canonical/evaluate_8ivfb_sequence.py,key_file,"ACTIVE_EVALUATION;ACTIVE_RESULT",present,"External sequence Base/Full evaluation including joint state.","Requires external PLY/GT and codec binary.",
scripts/scalable_attribute/canonical/evaluate_scalable_formal.py,key_file,"ACTIVE_EVALUATION;ACTIVE_RESULT",present,"Formal RWTT-28Lite/Full28 Base+Full physical evaluator.","Requires external H5, checkpoints and pc_error/G-PCC.",
scripts/scalable_attribute/evaluate_unicorn_reference.py,key_file,"ACTIVE_EVALUATION;ACTIVE_RESULT",present,"Local reproduction of released Unicorn reference curve.","Uses lossy_attribute model and third_party metrics/codecs.",
scripts/scalable_attribute/aggregate_reference_rd.py,key_file,"ACTIVE_EVALUATION;ACTIVE_RESULT",present,"Reference per-H5/per-model aggregation and curve output.","Consumes evaluator CSVs and official mapping.",
scripts/scalable_attribute/canonical/summarize_8ivfb_external.py,key_file,"ACTIVE_EVALUATION;ACTIVE_RESULT",present,"External per-sequence summary builder.","Consumes retained raw evaluator outputs.",
scripts/hpc/submit_train_sweep.py,key_file,BROKEN_ENTRYPOINT,present,"Line 46 constructs missing scripts/scalable_attribute/train.py.","Use canonical train_base/train_enhancement pages; no replacement generic adapter claimed.",
scripts/hpc/submit_eval_sweep.py,key_file,BROKEN_ENTRYPOINT,present,"Line 92 constructs missing scripts/scalable_attribute/evaluate.py.","Use canonical evaluation pages; no replacement generic adapter claimed.",
scripts/hpc/remote_submit.py,key_file,"ACTIVE_CONFIG;BROKEN_ENTRYPOINT",present,"DEFAULT_SPEC points to missing scripts/hpc/sweep_spec.py; train/eval actions call stale wrappers.","Reference action can use reference_sweep_spec.py; scheduler policy is retained.",
scripts/hpc/sweep_spec.py,missing_expected,BROKEN_ENTRYPOINT,missing_expected,"Referenced by remote_submit.py, HPC.md and HPC_GUIDE.md but absent from checkout.","No current generic sweep spec inferred.",
scripts/scalable_attribute/train.py,missing_expected,BROKEN_ENTRYPOINT,missing_expected,"Referenced by submit_train_sweep.py but absent from checkout.","Canonical train scripts are under scripts/scalable_attribute/canonical/.",
scripts/scalable_attribute/evaluate.py,missing_expected,BROKEN_ENTRYPOINT,missing_expected,"Referenced by submit_eval_sweep.py but absent from checkout.","Canonical evaluate scripts are under scripts/scalable_attribute/canonical/.",
scripts/hpc/submit_reference_sweep.py,key_file,"ACTIVE_CONFIG;ACTIVE_EVALUATION",present,"Reference submission wrapper targets evaluate_unicorn_reference.py, which exists.","Uses reference_sweep_spec.py, sweep_utils.py and resource_profiles.py.",
scripts/hpc/reference_sweep_spec.py,key_file,"ACTIVE_CONFIG;ACTIVE_EVALUATION",present,"Official nine-point reference experiment specification.","Imports scalable_attribute.reference_points.",
scripts/hpc/sweep_utils.py,key_file,ACTIVE_CONFIG,present,"Generic manifest/checkpoint/Slurm helper shared by HPC wrappers.","Used by both working reference and stale train/eval wrappers.",
scripts/hpc/resource_profiles.py,key_file,ACTIVE_CONFIG,present,"TinyGPU resource profile definitions.","Scheduler state must be checked live; not proof of a runnable experiment.",
configs/scalable_attribute/canonical_operating_points.json,key_file,ACTIVE_CONFIG,present,"Schema-validated R01-R09/point roles and provisional enhancement stage defaults.","Consumed by operating_points.py.",
configs/scalable_attribute/base_rescue_8way.json,key_file,"ACTIVE_CONFIG;ACTIVE_TRAINING",present,"Base rescue eight-way sampling/configuration schema.","Consumed by train_base_rescue.py and N30 preparation.",
data_splits/mvub10_finetune_v1/manifest_info.json,key_file,"ACTIVE_TRAINING;ACTIVE_CONFIG",present,"Manifest metadata for MVUB finetune split.","Points to external H5 files; raw files are not present.",
data_splits/mvub10_finetune_v1/train_h5.txt,key_file,"ACTIVE_TRAINING;ACTIVE_CONFIG",present,"MVUB training manifest entries.","External H5 root required; no raw H5 stored locally.",
data_splits/mvub10_finetune_v1/andrew_val8_h5.txt,key_file,"ACTIVE_TRAINING;ACTIVE_CONFIG",present,"MVUB validation manifest entries.","External H5 root required; no raw H5 stored locally.",
docs/CANONICAL_TRAINING_PROTOCOL.md,key_file,"ACTIVE_CORE;ACTIVE_CONFIG",present,"Evidence-backed Base/Enhancement recipe and hard correctness contract.","Navigation anchor for current training semantics.",
HPC.md,key_file,"ACTIVE_CONFIG;BROKEN_ENTRYPOINT",present,"Cluster policy plus explicitly marked historical broken local-first sweep block.","Current training/evaluation pages are the safe navigation route.",
HPC_GUIDE.md,key_file,"ACTIVE_CONFIG;BROKEN_ENTRYPOINT",present,"FAU workflow guide still contains absent sweep_spec/train.py/evaluate.py commands.","Retained as historical scheduler/resource evidence.",
docs/repository/CURRENT_TRAINING_ENTRYPOINTS.md,key_file,"ACTIVE_CORE;ACTIVE_TRAINING",present,"Current training navigation page.","Links canonical scripts and warns about stale wrappers.",
docs/repository/CURRENT_EVALUATION_ENTRYPOINTS.md,key_file,"ACTIVE_CORE;ACTIVE_EVALUATION",present,"Current evaluation navigation page.","Links canonical/reference evaluators.",
docs/repository/CURRENT_RESULT_INDEX.md,key_file,"ACTIVE_CORE;ACTIVE_RESULT",present,"Current result navigation page and evidence caveats.","Links assembled results and retained raw evidence.",
drafts/canonical_cleanup_20260901/CLEANUP_PLAN.md,key_file,HISTORICAL_EVIDENCE,present,"Non-destructive cleanup plan explicitly forbids deletion/move in this phase.","Supports inventory-only action boundary.",
drafts/architecture_survey_20260820/REPOSITORY_CAPABILITY_MAP.md,key_file,HISTORICAL_EVIDENCE,present,"Source capability/design-space evidence.","Historical survey; no current runtime import.",
drafts/architecture_screening_20260820/ARCHITECTURE_SCREENING.md,key_file,"LEGACY_EXPERIMENT;LEGACY_DIAGNOSTIC;HISTORICAL_EVIDENCE",present,"Rejected/frozen screening evidence.","Historical decision record.",
results/multirate_256_32k_audit_20260904/MULTIRATE_256_32K_MASTER_REVIEW.csv,key_file,"ACTIVE_RESULT;GENERATED_ARTIFACT",present,"Current assembled master review table.","Linked by CURRENT_RESULT_INDEX.md.",
results/multirate_256_32k_audit_20260904/MULTIRATE_256_32K_SUMMARY.csv,key_file,"ACTIVE_RESULT;GENERATED_ARTIFACT",present,"Compact current candidate summary.","Linked by CURRENT_RESULT_INDEX.md.",
results/multirate_256_32k_audit_20260904/MULTIRATE_256_32K_FINAL_AUDIT.md,key_file,"ACTIVE_RESULT;HISTORICAL_EVIDENCE",present,"Dated audit narrative; recommendations are not automatic freeze authority.","Linked by CURRENT_RESULT_INDEX.md.",
results/joint_8k_to_4k_external_20260904/all_checkpoints_rd_review/JOINT_4K_ALL_CHECKPOINTS_RD_REVIEW.md,key_file,"ACTIVE_RESULT;HISTORICAL_EVIDENCE",present,"4K checkpoint tradeoff review.","Linked by CURRENT_RESULT_INDEX.md.",
results/rescued_2k_enh_external_20260903/RESCUED_2K_ENH_EXTERNAL_ANALYSIS.md,key_file,"ACTIVE_RESULT;HISTORICAL_EVIDENCE",present,"Rescued 2K external analysis.","Linked by CURRENT_RESULT_INDEX.md.",
results/base_rescue_screening_20260903/BASE_RESCUE_SCREENING_REPORT.md,key_file,"ACTIVE_RESULT;HISTORICAL_EVIDENCE",present,"Base rescue screening report.","Referenced by current rescue navigation.",
results.zip,key_file,GENERATED_ARTIFACT,present,"Root packaged results archive; contents not used as current runtime.","Do not infer duplicate/cleanup status from archive name.",
scalable-geometry-roi-channel_split_lambda.zip,key_file,GENERATED_ARTIFACT,present,"Root packaged geometry archive outside current scalable Attribute direction.","Geometry archive; no current runtime dependency.",
third_party/PCQM.zip,key_file,"UNKNOWN;GENERATED_ARTIFACT",present,"Opaque vendor archive was observed but not unpacked in this bounded inventory; content-level callers and provenance are not asserted.","Retain until an exact archive-level review is separately requested.",
dynamic_attribute/README.md,key_file,DUPLICATE,present,"Full-file SHA-256 match with lossless_attribute/README.md and lossy_attribute/README.md.","Identical legacy example text; no action proposed.",0766c54897e209cd76ffa6d83ef8c9ce6714faf9a5267197a959fda865d64a1a
lossless_attribute/README.md,key_file,DUPLICATE,present,"Full-file SHA-256 match with dynamic_attribute/README.md and lossy_attribute/README.md.","Identical legacy example text; no action proposed.",0766c54897e209cd76ffa6d83ef8c9ce6714faf9a5267197a959fda865d64a1a
lossy_attribute/README.md,key_file,DUPLICATE,present,"Full-file SHA-256 match with dynamic_attribute/README.md and lossless_attribute/README.md.","Identical legacy example text; no action proposed.",0766c54897e209cd76ffa6d83ef8c9ce6714faf9a5267197a959fda865d64a1a
basic_models/__init__.py,key_file,DUPLICATE,present,"Full-file SHA-256 match with seven package marker files listed in inventory notes.","One-line legacy package marker; no action proposed.",d4d526d98debd39041c99d3448567287a3866bdc50b0a1538521edac3277cc28
cfg/__init__.py,key_file,DUPLICATE,present,"Full-file SHA-256 match with seven package marker files listed in inventory notes.","One-line legacy package marker; no action proposed.",d4d526d98debd39041c99d3448567287a3866bdc50b0a1538521edac3277cc28
data_utils/__init__.py,key_file,DUPLICATE,present,"Full-file SHA-256 match with seven package marker files listed in inventory notes.","One-line legacy package marker; no action proposed.",d4d526d98debd39041c99d3448567287a3866bdc50b0a1538521edac3277cc28
data_utils/attribute/__init__.py,key_file,DUPLICATE,present,"Full-file SHA-256 match with seven package marker files listed in inventory notes.","One-line legacy package marker; no action proposed.",d4d526d98debd39041c99d3448567287a3866bdc50b0a1538521edac3277cc28
data_utils/geometry/__init__.py,key_file,DUPLICATE,present,"Full-file SHA-256 match with seven package marker files listed in inventory notes.","One-line legacy package marker; no action proposed.",d4d526d98debd39041c99d3448567287a3866bdc50b0a1538521edac3277cc28
pipelines/__init__.py,key_file,DUPLICATE,present,"Full-file SHA-256 match with seven package marker files listed in inventory notes.","One-line legacy package marker; no action proposed.",d4d526d98debd39041c99d3448567287a3866bdc50b0a1538521edac3277cc28
third_party/__init__.py,key_file,DUPLICATE,present,"Full-file SHA-256 match with seven package marker files listed in inventory notes.","One-line legacy package marker; no action proposed.",d4d526d98debd39041c99d3448567287a3866bdc50b0a1538521edac3277cc28
